exercise, icon, body part, category
Walking Lunge,slicon-bodypart-legs,Legs,Barbell
Wall Ball,slicon-bodypart-whole-body,Whole Body,Barbell
Wall Ball,slicon-bodypart-shoulders,Whole Body,Barbell
Wrist Curl,slicon-bodypart-forearms,Forearms,Barbell
Wrist Curl,slicon-bodypart-whole-body,Forearms,Barbell
Yates Row,slicon-bodypart-core,Back,Barbell
Yates Row,slicon-bodypart-back,Back,Barbell
Z Press,slicon-bodypart-whole-body,Shoulders,Barbell
Z Press,slicon-bodypart-shoulders,Shoulders,Barbell
Zercher Squat,slicon-bodypart-legs,Legs,Barbell
Zercher Squat,slicon-bodypart-back,Legs,Barbell
Zottman Curl,slicon-bodypart-biceps,Biceps,Dumbbell
Zottman Curl,slicon-bodypart-back,Biceps,Dumbbell
